,Hotel Name,Address,Rating (5),Price (2)
308,Creamy Inn,IV South West Chennai,5.0,300
309,The Lounge,"LH Inn,Thiruvanmiyur, South Chennai",4.0,1000
310,The Cascade,"CA Santham Building,Mogappair, West Chennai",4.6,800
311,Chop N Stix,SP West Chennai,4.3,1000
312,M,"MA - Global Veg KitchenGrand Arcade,Velachery, South West Chennai",4.3,900
313,Barbeque Nation,"NT Grand Mall,Velachery, South West Chennai",4.1,1800
314,Fuel Juice & Pasta Bar,BM West Chennai,4.7,500
315,Tipsy Crow,"CG Arcade,Velachery, South West Chennai",4.0,1800
316,Twist Restaurant,"RT Chennai,Perungudi, South West Chennai",4.5,2500
317,Noodle Bowl,BP West Chennai,4.0,600
318,The Madras Diner,DM West Chennai,4.3,900
319,Donut House,HP South West Chennai,5.0,400
320,Pedreno's,"PO Mahabalipuram Road OMR, South West Chennai",4.6,2500
321,Pitcherr Perfect,PK South Chennai,4.0,1600
322,Tasty Kitchen,KP North Chennai,4.2,600
323,Dindigul Thalappakatti,TP North Chennai,4.3,700
324,East Coast at Madras Square,SN South Chennai,4.5,1400
325,Chaat Chatore,CI West Chennai,4.4,300
326,Dosa.in,DM West Chennai,4.3,300
327,Double Roti,RN South Chennai,4.3,1000
328,Buhari Restaurant,"RP Towers,Poonamallee, West Chennai",4.3,1000
329,The Bench Cafe,CK North Chennai,4.1,600
330,Pind,"PM Arcade,Thuraipakkam, South West Chennai",4.4,1200
331,Bhatinda Xpress,"XM Arcade,Thuraipakkam, South West Chennai",4.2,1200
332,Dindigul Thalappakatti,"TO Mahabalipuram Road OMR, South West Chennai",5.0,700
333,Barbeque Nation,NT South West Chennai,4.2,2000
334,Oasis,"OP Plaza Chennai,Thuraipakkam, South West Chennai",4.4,1500
335,Dindigul Thalappakatti,TV South Chennai,4.2,700
336,"Tosai clubThuraipakkam, South West Chennai₹ 800 for 2 (approx) | North Indian, Chinese, Continental, South Indian",,4.0,800
337,Hub At E,EC South Chennai,4.2,2900
338,Chennai Kulfi,"KO Food Street,Injambakkam, South Chennai",4.5,200
339,Flower Drum,DT South West Chennai,4.3,1100
340,Orange Coconut Wine & Dine,DT South West Chennai,4.3,1300
341,Dindigul Thalappakatti,TT South West Chennai,4.3,700
342,Palmshore,PM South West Chennai,4.3,1000
343,Dindigul Thalappakatti,TM South West Chennai,4.1,700
344,Le Wrap Factorie,FM South West Chennai,4.7,300
345,The Cascade,CM South West Chennai,4.0,800
346,Jugo Cafe,CM South West Chennai,4.3,700
347,Cold Stone Creamery,"CE Coast Road, South Chennai",4.6,400
348,Orange Wok,WC South West Chennai,4.1,1000
349,Sian,"SV Chennai,Sholinganallur, South West Chennai",4.3,1800
350,The Square,"SN Chennai OMR,Sholinganallur, South West Chennai",4.1,2500
351,N,"NI Asian Bar & CafeNovotel Chennai OMR,Sholinganallur, South West Chennai",4.3,2500
352,Mynt,"MV Chennai,Sholinganallur, South West Chennai",4.0,2000
353,Barbeque Nation,NC South West Chennai,4.0,1800
354,Delhi Dhaba,DA South Chennai,4.0,800
355,Delhi Highway,HS South West Chennai,4.1,1000
356,Hola,HC South West Chennai,4.0,1200
357,Dindigul Thalappakatti,TS South Chennai,4.0,700
358,Kipling Cafe,"CE Coast Road, South Chennai",4.2,1600
359,Dindigul Thalappakatti,TP West Chennai,4.1,700
360,Prive Restaurant,"RE Coast Road, South Chennai",4.3,1200
361,Tibbs Frankie,"FT East, South West Chennai",4.5,200
362,Madras Coffee House,"HT East, South West Chennai",4.5,200
363,Robot,RS South West Chennai,4.1,1200
364,Regos Cafe,"CT West, South West Chennai",4.8,400
365,Coal Barbecues,BN South West Chennai,4.1,1800
366,A,"AB - Absolute BarbecuesVivira Mall,Navalur, South West Chennai",4.2,1600
367,Frozen Bottle,"BO Food Street,Navalur, South West Chennai",4.5,400
368,Sulthan's Biryani,"BO Food Street,Navalur, South West Chennai",4.2,700
369,Buttons Cupcakes,"CT Marina Mall,Egattur, South West Chennai",5.0,300
370,The Square,"SN Chennai Sipcot Hotel,Egattur, South West Chennai",4.2,2500
371,Dindigul Thalappakatti,TV South West Chennai,4.0,700
372,Dindigul Thalappakatti,TP South West Chennai,4.0,700
373,Kulfi Bitz,"BO Food Street,GST Road, South West Chennai",5.0,300
374,The Reef,"RS Grand Chennai Resort & Spa,Mahabalipuram, South Chennai",4.3,1800
375,Pelican Deck,"DS Grand Chennai Resort & Spa,Mahabalipuram, South Chennai",5.0,3000
376,The Melting Pot,"PI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.3,1300
377,Tao of Peng,"PI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.5,4000
378,Kokommo,"KI Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai",4.1,2500
379,Melange,"MM Chennai,Sriperumbudur, West Chennai",4.3,1600
380,Waters Edge Cafe,"CR Blu Resort Temple Bay Mamallapuram,Mahabalipuram, South Chennai",4.4,3200
381,The Waterfall Restaurant,RV West Chennai,4.1,1700
382,Coal Barbecues,"BT Nagar, Central Chennai",4.1,1800
383,Express By A,"AB Nagar, Central Chennai",5.0,600
384,Millet Maagic Meal,MA Central Chennai,4.8,300
385,Fabcafe by Fabindia,FA Central Chennai,4.4,1500
386,Earthen Oven,"OW Chennai,Gopalapuram, Central Chennai",4.4,2000
387,Welcom,"WC MarinaWelcomHotel Chennai,Gopalapuram, Central Chennai",4.3,1500
388,Cafe Coffee Day,DG South Chennai,4.4,900
389,Namma Veedu Vasanta Bhavan,BM Central Chennai,4.5,700
390,Broken Bridge Cafe by Radio Room,"RS Greenways,MRC Nagar, Central Chennai",4.5,1200
391,Pizza Hut - 1,"17 Market City,Velachery, South West Chennai",4.6,800
392,Lattice,LA South Chennai,4.1,1600
393,Namma Veedu Vasanta Bhavan,BN South Chennai,4.0,700
394,Namma Veedu Vasanta Bhavan,BC South West Chennai,4.0,700
395,Namma Veedu Vasanta Bhavan,BM South West Chennai,4.0,700
396,Express By A,AB South West Chennai,4.8,600
397,Cafe Coffee Day,DS South Chennai,4.5,900
398,Topi Vappa Biriyani,BK South West Chennai,5.0,700
399,Gossip Fusion Bistro & Dessert Bar,BU South Chennai,4.5,1500
