,Hotel Name,Address,Rating (5),Price (2)
327,Little Italy,"IB Nagar, South Chennai",4.4,1500
328,Roll Over,"OS Thomas Mount, West Chennai",4.1,400
329,Cookie Man,"MF Vijaya Mall,Vadapalani, West Chennai",0.0,300
330,Subway,"SV Mall,Anna Nagar, North Chennai",4.0,500
331,Pizza Hut,HA South Chennai,4.0,800
332,New Andhra Meals Hotel,HV West Chennai,3.5,700
333,Frozen Bottle,BV South West Chennai,4.0,400
334,Jaipurya - The Desi Gourmet,GE North Chennai,3.0,300
335,Pizza Hut - 1,"17 Nagar, North Chennai",4.0,800
336,The Cake Shop,"ST Leela Palace,MRC Nagar, Central Chennai",4.8,1000
337,Cold Stone Creamery,CR Central Chennai,2.0,400
338,Frozen Bottle,BV West Chennai,3.5,400
339,Cream & Fudge,FS Central Chennai,4.3,400
340,Cilantro,"CL Royal Meridien Chennai,St. Thomas Mount, West Chennai",3.7,3000
341,Copper Chimney,"CP Market City,Velachery, South West Chennai",4.2,1500
342,Frozen Bottle,"BA Nagar, North Chennai",3.8,400
343,Patissez,"PP Market City,Velachery, South West Chennai",4.2,1300
344,Samco,SV South West Chennai,3.9,1000
345,Superstar Pizza,"PA Nagar, North Chennai",4.3,800
346,London Dessert Co.,CK North Chennai,2.6,500
347,Waves,"WR Chennai Egmore,Egmore, North Chennai",4.2,2100
348,Lobby Lounge,"LT Leela Palace,MRC Nagar, Central Chennai",4.0,2000
349,China X,"XO Leela Palace,MRC Nagar, Central Chennai",4.3,3000
350,Subway,SN Central Chennai,0.0,500
351,Ayur Square Veg Restaurant,RV South West Chennai,4.8,1000
352,Palmshore,PR West Chennai,4.3,1000
353,Haven Sampoorna,SV South West Chennai,4.3,1200
354,Jamavar,"JT Leela Palace,MRC Nagar, Central Chennai",4.2,3000
355,Wow! Momo,MA West Chennai,5.0,400
356,Punjab Grill,"GP Market City,Velachery, South West Chennai",4.2,2000
357,Chili’s American Grill and Bar,"BP Market City,Velachery, South West Chennai",4.1,1500
358,Spiritz,"SR Towers,Anna Nagar, North Chennai",2.7,1100
359,Spectra,"ST Leela Palace,MRC Nagar, Central Chennai",4.2,2900
360,Rosewater,"RA Nagar, North Chennai",3.8,1500
361,Guru Mess,MA South Chennai,3.9,500
362,6th Avenue Restobar,"RA Nagar, North Chennai",4.0,1200
363,Library Blu,"BT Leela Palace,MRC Nagar, Central Chennai",4.2,2300
364,Khandani Rajdhani,"RP Market City,Velachery, South West Chennai",4.0,1200
365,Message In A Bottle,BE North Chennai,4.1,1600
366,The Mist,"MA Nagar, North Chennai",4.2,1000
367,Smoke Hub Barbeque,BV South West Chennai,3.8,1800
368,MKC - Madras Kitchen Company,"CT Westin Chennai,Velachery, South West Chennai",4.2,1400
369,Seasonal Tastes,"TT Westin Chennai,Velachery, South West Chennai",4.2,3600
370,That Waffle Place,"PA Nagar, North Chennai",4.2,300
371,B,"BL CH3MISTRYAnna Nagar, North Chennai",3.9,1300
372,Hotel Saravana Bhavan,"BK Nagar, West Chennai",0.0,600
373,Mainland China,"CA Nagar, North Chennai",4.2,1200
374,Urban Spatula,"SA Nagar, North Chennai",4.2,900
375,Hotel Saravana Bhavan,BP North Chennai,3.5,600
376,Milky,MW North Chennai,1.4,400
377,Sunset Grill,"GT Westin Chennai,Velachery, South West Chennai",4.1,2500
378,Hotel Saravana Bhavan,BE North Chennai,3.3,600
379,Willows,"WT Westin Chennai,Velachery, South West Chennai",4.1,2500
380,Top Roof Restaurant,RM West Chennai,4.0,500
381,Chai Waale,WS West Chennai,0.0,200
382,Cold Stone Creamery,"CP Market City,Velachery, South West Chennai",3.5,400
383,Dindigul Thalappakatti,"TD IT Park,Ramapuram, West Chennai",4.5,700
384,Vasanta Bhavan,BA South Chennai,3.1,500
385,Subway,"SA Nagar, North Chennai",3.0,500
386,The Old Potion House,HA South Chennai,3.9,800
387,Wow! Momo,"MP Market City,Velachery, South West Chennai",3.4,400
388,Cook Gramam,"GA Nagar, North Chennai",4.3,500
389,Rasavid,RV South West Chennai,3.6,900
390,Chennai Kulfi,"KA Nagar, North Chennai",4.6,200
391,The Ma,"MM ShopAdyar, South Chennai",4.7,600
392,Chidambaram New Moorthy Cafe,"CA Nagar, North Chennai",3.5,600
393,Steak House,"HH Sky Park,Anna Nagar, North Chennai",3.2,700
394,Buttons Cupcakes,"CB Nagar, South Chennai",5.0,300
395,The Tickle Truck,"TB Nagar, South Chennai",4.6,200
396,Arusuvai Bharatha Vilas,"VA Nagar, North Chennai",2.8,800
397,A,"AB - Absolute BarbecuesVelachery, South West Chennai",4.3,1600
398,Murugan Idli Shop,SV West Chennai,3.0,300
399,Cake Waves,WS West Chennai,0.0,500
400,Shout Bar & Cafe,CR West Chennai,4.0,1400
401,Hotel Saravana Bhavan,BP West Chennai,4.2,600
402,Vasanta Bhavan,BE North Chennai,2.5,500
403,Lassi Factory,FS West Chennai,0.0,200
404,99 Pancakes,"PB Nagar, South Chennai",4.7,300
405,Loaded Pizza,PA Central Chennai,0.0,500
406,Barbeque Nation,NR West Chennai,3.9,1800
407,99 Bar and Grill,GA South Chennai,3.6,1500
408,The Cycle Gap,GA South Chennai,4.0,1700
409,Kurtosh Bistro,"BB Nagar, South Chennai",4.5,700
410,Haven Sampoorna,"SA Complex,Besant Nagar, South Chennai",4.4,1200
411,Sachin Ka Dhabba,"DA Nagar, North Chennai",3.7,800
412,Sree Anjapper,AA South West Chennai,3.3,700
413,Gelato Factory,FA Central Chennai,0.0,600
414,Le Wrap Factorie,FC Central Chennai,0.0,300
415,Superstar Pizza,"PB Nagar, South Chennai",4.2,800
416,Mash Resto Cafe,"CB Nagar, South Chennai",4.3,800
417,Gogo Momo,MA Central Chennai,0.0,500
418,Gogo Thai,TA Central Chennai,0.0,500
419,Transit,TP North Chennai,3.3,800
